ADM3_PCODE,elev_min,elev_max,elev_mean,elev_std,elev_median
NP0101301,546.0,3780.0,1843.3078792296944,651.217991136855,1828.0
NP0101401,0.0,8505.0,4537.8828333408455,1267.893344424772,4801.0
NP0101402,670.0,5747.0,3531.62888158687,1073.02052209099,3738.0
NP0101403,750.0,8443.0,3383.8675140436067,1425.1868521924982,3195.0
NP0101404,647.0,4663.0,2622.5240220625587,937.7561973103271,2608.0
NP0101405,707.0,4403.0,2284.3852155148566,691.0439466403086,2314.0
NP0101406,493.0,2894.0,1528.1283330466197,541.9773123149055,1519.0
NP0101407,520.0,2783.0,1470.611880046136,509.6403733489088,1427.0
NP0101408,722.0,4641.0,2388.3134549770066,812.6654013444269,2366.0
NP0102301,411.0,3181.0,1651.2031330762197,584.8625664113963,1643.0
NP0102401,428.0,2503.0,1161.33364433663,412.6661786824938,1119.0
NP0102402,0.0,4629.0,2305.2024058385596,799.9158183127279,2240.0
NP0102403,906.0,3583.0,2261.118210036213,551.800738372382,2242.0
NP0102404,357.0,2338.0,1101.521406999467,352.54422599040186,1110.0
NP0102405,628.0,2979.0,1649.9024286019514,423.37343349875033,1639.0
NP0102406,338.0,2190.0,1132.189994782155,400.0791910216285,1116.5
NP0102407,441.0,2393.0,1496.6666513297139,374.558703681278,1527.0
NP0103301,225.0,2811.0,1230.8828328068141,477.77235406599056,1215.0
NP0103302,296.0,2991.0,1202.1031735493295,520.4853207185128,1120.0
NP0103303,0.0,2684.0,1377.1271169149154,370.1722525984213,1400.0
NP0103304,124.0,1386.0,322.6440061669139,157.12087329972243,281.0
NP0103401,538.0,2255.0,1424.7459881756756,349.35091802763935,1429.0
NP0103402,1001.0,3577.0,2184.5891084242603,460.7147553135355,2183.0
NP0103403,507.0,3049.0,1633.0723197651444,538.5046855471705,1604.0
NP0103404,142.0,2316.0,456.8742129465865,418.8712156739481,283.0
NP0103405,198.0,2056.0,803.7675733428305,465.1743042216815,676.0
NP0103406,220.0,1829.0,746.7258224336108,349.6752149924997,667.0
NP0104301,100.0,214.0,138.3716794969099,21.98749776022977,134.0
NP0104302,85.0,618.0,125.20382502113272,50.869348317212626,111.0
NP0104303,95.0,477.0,125.29065811218042,37.510244778286555,114.0
NP0104304,118.0,434.0,177.00125953397244,47.72040738111063,160.0
NP0104305,88.0,633.0,161.02943878570002,63.95955298436235,140.0
NP0104306,75.0,122.0,92.07458166512679,8.407099749042997,91.0
NP0104307,94.0,141.0,114.44034174604734,8.73428223183477,113.0
NP0104308,64.0,126.0,89.81693180909745,10.347309495781479,90.0
NP0104401,86.0,164.0,117.82941349404675,16.23616920366654,116.0
NP0104402,137.0,801.0,260.8522082170692,115.8482365529311,218.0
NP0104403,0.0,95.0,77.1275254443263,4.824969902197837,77.0
NP0104404,0.0,103.0,85.47984629220832,7.62680545197391,85.0
NP0104405,73.0,129.0,91.5663309352518,9.335578946149317,90.0
NP0104406,77.0,144.0,99.69429508196721,11.874747427642564,96.0
NP0104407,0.0,104.0,70.90560471976401,9.81562410260419,71.0
NP0105101,61.0,87.0,72.7098931815913,5.114394197845119,73.0
NP0105301,124.0,1896.0,528.1681592387882,395.0872881412043,341.0
NP0105302,96.0,199.0,129.19761606022584,21.240933244997695,123.0
NP0105303,84.0,216.0,128.4002891008962,31.66429485363417,120.0
NP0105304,89.0,164.0,111.53094179075615,15.350496697239436,108.0
NP0105305,92.0,163.0,121.46023897816234,14.792137760955946,119.0
NP0105306,63.0,93.0,77.51836313617606,5.602662568558631,77.0
NP0105307,65.0,98.0,78.40739133579228,6.7769970958098735,77.0
NP0105308,64.0,105.0,80.87493241051152,8.650407570377169,79.0
